"assignment_id,project_id,consultant_id,role_on_project,allocation_percentage,start_date,end_date"
"ASGN-7035,PRJ-8022,CON-1026,Senior,75%,2021-09-01,2022-03-31"
"ASGN-7036,PRJ-8023 ,CON-1003,Lead,25%,2022-01-15,2022-07-31"
"ASGN-7037,PRJ-8023,CON-1027,Senior,50%,2022-01-15,2022-07-31"
"ASGN-7038,PRJ-8024,CON-1028,Senior,75%,2022-05-01,2023-01-31"
"ASGN-7039,PRJ-8025,CON-1024,Lead,25%,2022-08-01,2023-02-28"
"ASGN-7040,PRJ-8025 ,CON-1029,Junior,100%,2022-08-01,2023-02-28"
"ASGN-7041,PRJ-8026,CON-1030,Junior,50%,2022-11-01,"
"ASGN-7042,PRJ-8027,CON-1031,Lead,75%,2023-01-15,2023-09-30"
"ASGN-7043,PRJ-8028,CON-1032,Lead,50%,2023-04-01,2023-12-31"
"ASGN-7044,PRJ-8029 ,CON-1013,Lead,50%,2023-07-01,2024-01-31"
"ASGN-7045,PRJ-8029,CON-1033,Senior,75%,2023-07-01,2024-01-31"
"ASGN-7046,PRJ-8030,CON-1034,Senior,50%,2023-10-01,"
"ASGN-7047,PRJ-8031,CON-1035,Senior,75%,2024-01-01,2024-08-31"
"ASGN-7048,PRJ-8032 ,CON-1003,Lead,50%,2023-05-01,2023-11-30"
"ASGN-7049,PRJ-8032,CON-1036,Senior,50%,2023-05-01,2023-11-30"
"ASGN-7050,PRJ-8033,CON-1001,Lead,25%,2022-09-01,2023-03-31"
"ASGN-7051,PRJ-8033,CON-1037,Junior,100%,2022-09-01,2023-03-31"
"ASGN-7052,PRJ-8034 ,CON-1014,Lead,50%,2023-02-01,2023-09-30"
"ASGN-7053,PRJ-8034,CON-1038,Junior,100%,2023-02-01,2023-09-30"
"ASGN-7054,PRJ-8035,CON-1024,Lead,75%,2023-09-01,"
"ASGN-7055,PRJ-8036,CON-1002,Lead,50%,2022-04-01,2022-08-31"
"ASGN-7056,PRJ-8036 ,CON-1040,Senior,75%,2022-04-01,2022-08-31"
"ASGN-7057,PRJ-8037,CON-1041,Lead,50%,2023-11-01,2024-05-31"
"ASGN-7058,PRJ-8038,CON-1042,Lead,75%,2024-01-01,"
"ASGN-7059,PRJ-8039,CON-1015,Lead,50%,2024-02-01,2024-09-30"
"ASGN-7060,PRJ-8039 ,CON-1043,Senior,75%,2024-02-01,2024-09-30"
"ASGN-7061,PRJ-8040,CON-1044,Senior,50%,2024-01-15,"
"ASGN-7062,PRJ-8001,CON-1005,Senior,75%,2020-02-01,2020-08-31"
"ASGN-7063,PRJ-8002,CON-1006,Senior,50%,2020-04-15,2020-12-15"
"ASGN-7064,PRJ-8003 ,CON-1007,Senior,50%,2020-07-01,2021-01-31"
"ASGN-7065,PRJ-8005,CON-1008,Senior,50%,2021-02-01,2021-09-30"
"ASGN-7066,PRJ-8007,CON-1016,Senior,50%,2021-06-15,2022-03-31"
"ASGN-7067,PRJ-8010,CON-1029,Junior,100%,2022-02-15,2022-10-31"
"ASGN-7068,PRJ-8014 ,CON-1045,Senior,50%,2022-11-01,2023-08-31"
"ASGN-7069,PRJ-8016,CON-1046,Junior,100%,2023-04-01,"
"ASGN-7070,PRJ-8017,CON-1047,Junior,75%,2023-06-01,2024-02-28"
"ASGN-7071,PRJ-8020,CON-1012,Junior,100%,2023-12-01,2024-06-30"
"ASGN-7072,PRJ-8024 ,CON-1049,Lead,75%,2022-05-01,2023-01-31"
"ASGN-7073,PRJ-8027,CON-1050,Lead,50%,2023-01-15,2023-09-30"
"ASGN-7074,PRJ-8028,CON-1051,Senior,75%,2023-04-01,2023-12-31"
"ASGN-7075,PRJ-8031,CON-1052,Senior,50%,2024-01-01,2024-08-31"
"ASGN-7076,PRJ-8034 ,CON-1053,Senior,50%,2023-02-01,2023-09-30"
"ASGN-7077,PRJ-8037,CON-1054,Senior,75%,2023-11-01,2024-05-31"
"ASGN-7078,PRJ-8038,CON-1055,Junior,100%,2024-01-01,"
"ASGN-7079,PRJ-8040,CON-1056,Junior,100%,2024-01-15,"
"ASGN-7080,PRJ-8001 ,CON-1049,Lead,50%,2020-02-01,2020-08-31"
"ASGN-7081,PRJ-8004,CON-1050,Lead,50%,2020-10-01,"
"ASGN-7082,PRJ-8009,CON-1051,Senior,50%,2021-11-01,2022-06-30"
"ASGN-7083,PRJ-8013,CON-1052,Senior,75%,2022-09-01,2023-04-30"
"ASGN-7084,PRJ-8015 ,CON-1053,Senior,50%,2023-02-01,2023-09-30"
"ASGN-7085,PRJ-8019,CON-1054,Senior,50%,2023-10-01,"
"ASGN-7086,PRJ-8021,CON-1029,Junior,100%,2021-03-01,2021-07-31"
"ASGN-7087,PRJ-8022,CON-1030,Junior,75%,2021-09-01,2022-03-31"
"ASGN-7088,PRJ-8023 ,CON-1031,Lead,50%,2022-01-15,2022-07-31"
"ASGN-7089,PRJ-8026,CON-1032,Lead,75%,2022-11-01,"
"ASGN-7090,PRJ-8030,CON-1037,Junior,100%,2023-10-01,"
"ASGN-7091,PRJ-8035,CON-1038,Junior,100%,2023-09-01,"
"ASGN-7092,PRJ-8005 ,CON-1057,Junior,100%,2021-02-01,2021-09-30"
"ASGN-7093,PRJ-8008,CON-1009,Junior,50%,2021-08-01,"
"ASGN-7094,PRJ-8012,CON-1010,Junior,50%,2022-06-01,2022-09-30"
"ASGN-7095,PRJ-8018,CON-1055,Junior,75%,2023-08-15,2024-03-15"
"ASGN-7096,PRJ-8025 ,CON-1011,Junior,50%,2022-08-01,2023-02-28"
"ASGN-7097,PRJ-8029,CON-1056,Junior,100%,2023-07-01,2024-01-31"
"ASGN-7098,PRJ-8033,CON-1057,Junior,75%,2022-09-01,2023-03-31"
"ASGN-7099,PRJ-8036,CON-1013,Lead,25%,2022-04-01,2022-08-31"
"ASGN-7100,PRJ-8039 ,CON-1014,Lead,50%,2024-02-01,2024-09-30"
